NAME,PARK,OPEN,MARKET,JOB,PRICE,PEOPLE,HOUSE,CLOSE,Y
이촌2동,0.84,-0.122232916,0.192307692,0.125,-0.134686341,-0.085119167,-0.091853601,101.9,0
암사1동,1.238446082,-0.054774241,0.003389831,0,0.1909115,-0.011697878,0.031490597,101.5,0
암사2동,1.119205298,-0.135057471,0.064516129,0.37037037,0.1909115,-0.089900652,-0.059684864,118.9,0
암사3동,1.161016949,-0.384761905,0.095238095,0.050847458,0.1909115,-0.010162602,0.014874697,95.3,0
돈암1동,0.763779528,-0.177740864,0.107142857,0.102272727,0.082944815,0.025474957,0.041741108,86.5,0
돈암2동,0.853932584,0.465346535,0.310344828,0.418181818,0.082944815,0.061335469,0.059751973,44.9,0
개포1동,0.311111111,0.402015677,0.19047619,0.108695652,0.160961708,-0.117621184,-0.100658193,131.3,0
개포2동,1.006849315,0.150139018,-0.06,-0.011820331,0.160961708,-0.57185865,-0.58138987,123,0
개포4동,0.985549133,-0.006622517,-0.058295964,-0.02044293,0.160961708,-0.2162508,-0.198943662,123.4,0
응암1동,0.796850394,0.011142061,-0.01459854,0.053380783,0.198544731,-0.193070224,-0.16527881,100.2,0
응암2동,0.61341853,-0.091439689,-0.12745098,-0.219607843,0.198544731,-0.190587262,-0.214351681,101.5,0
응암3동,0.970707893,-0.018939394,0.011876485,-0.020084567,0.198544731,-0.043081509,0.010297483,101.4,0
흑석동,0.867095391,-0.144,-0.052109181,-0.065003779,0.173379644,-0.165169112,-0.16544665,109.6,0
성산1동,0.978406552,-0.423116615,0.126506024,0.140316206,0.283035339,-0.042462443,0.009707679,84.9,0
성산2동,0.990318119,-0.163825056,0.168316832,0.123287671,0.273267199,-0.006498781,0.091351386,94.7,0
둔촌1동,1.181818182,-0.304385211,-0.235294118,0,0.156487117,-0.901275009,-0.861940299,439.3,0
둔촌2동,1.135802469,0.026708562,-0.030769231,0.162234043,0.156487117,-0.023550971,0.038454359,108.4,0
상도1동,1.008957655,-0.204184704,0.03,0.316793893,0.223056947,0.008114951,0.031211479,97.9,0
상도2동,0.943181818,0.223613596,0.066371681,0.238095238,0.241769429,0.053084983,0.061672819,88.2,0
상도3동,0.994368463,-0.179163902,0.037593985,-0.014044944,0.241769429,0.04035532,0.106735549,98.6,0
